"","Protein1","Protein2","Spectra_Count","Site_Count","Gene1","Gene2","Context","CC","MF","BP"
"304","O60256","Q6ZP82",1,1,"PRPSAP2","CCDC141","poor",0.63,1,0.19
"305","O60282","P26641",1,1,"KIF5C","EEF1G","poor",0.407,0.46,0.069
"306","O60287","Q9UHV9",2,1,"URB1","PFDN2","poor",0.373,0.325,0.284
"307","O60308","P78527",3,2,"CEP104","PRKDC","poor",0.425,1,0
"308","O60313","Q9UQE7",1,1,"OPA1","SMC3","poor",0.574,0.57,0.268
"309","O60341","P39019",1,1,"KDM1A","RPS19","poor",0.534,0.525,0.236
"310","O60341","P62753",1,1,"KDM1A","RPS6","poor",0.604,0.493,0.296
"311","O60341","Q8NC51",1,1,"KDM1A","SERBP1","poor",0.479,0.506,0.198
"312","O60341","Q8WWL7",1,1,"KDM1A","CCNB3","poor",0.579,0.443,0.181
"313","O60437","O60814",1,1,"PPL","H2BC12","poor",0.538,0.7,0.236
"314","O60437","P06899",1,1,"PPL","H2BC11","poor",0.649,0.671,0.254
"315","O60437","P57053",1,1,"PPL","H2BC12L","poor",0.538,0.579,0.248
"316","O60437","P62807",1,1,"PPL","H2BC4","poor",0.596,0.718,0.222
"317","O60437","Q16778",1,1,"PPL","H2BC21","poor",0.596,0.709,0.222
"318","O60437","Q9BZE4",1,1,"PPL","GTPBP4","poor",0.67,0.463,0.16
"319","O60502","Q16881",1,1,"OGA","TXNRD1","poor",0.703,0.36,0.134
"320","O60610","P04908",1,1,"DIAPH1","H2AC4","poor",0.4,0.682,0.364
"321","O60610","P0C0S8",1,1,"DIAPH1","H2AC11","poor",0.408,0.677,0.294
"322","O60610","P20671",1,1,"DIAPH1","H2AC7","poor",0.408,0.455,0.294
"323","O60610","P35579",1,1,"DIAPH1","MYH9","poor",0.649,0.669,0.359
"324","O60610","P36578",1,1,"DIAPH1","RPL4","poor",0.611,0.781,0.053
"325","O60610","P62750",1,1,"DIAPH1","RPL23A","poor",0.609,0.747,0.144
"326","O60610","P68431",1,1,"DIAPH1","H3C1","poor",0.493,0.703,0.291
"327","O60610","P84243",1,1,"DIAPH1","H3-3A","poor",0.461,0.607,0.297
"328","O60610","Q16695",1,1,"DIAPH1","H3-4","poor",0.452,0.708,0.28
"329","O60610","Q16777",1,1,"DIAPH1","H2AC20","poor",0.408,0.455,0.294
"330","O60610","Q5TEC6",1,1,"DIAPH1","H3-7","poor",0.44,0.513,0
"331","O60610","Q6FI13",1,1,"DIAPH1","H2AC18","poor",0.408,0.638,0.294
"332","O60610","Q6NXT2",1,1,"DIAPH1","H3-5","poor",0.461,0.655,0.39
"333","O60610","Q71DI3",1,1,"DIAPH1","H3C15","poor",0.459,0.708,0.28
"334","O60610","Q7L7L0",1,1,"DIAPH1","H2AW","poor",0,0,0
"335","O60610","Q8IUE6",1,1,"DIAPH1","H2AC21","poor",0.408,0.638,0.294
"336","O60610","Q93077",1,1,"DIAPH1","H2AC6","poor",0.431,0.638,0.3
"337","O60610","Q96KK5",1,1,"DIAPH1","H2AC12","poor",0.408,0.455,0.294
"338","O60610","Q96QV6",1,1,"DIAPH1","H2AC1","poor",0.456,0.454,0.289
"339","O60610","Q99729",1,1,"DIAPH1","HNRNPAB","poor",0.554,0.85,0.127
"340","O60610","Q99878",1,1,"DIAPH1","H2AC14","poor",0,0,0
"341","O60610","Q9BTM1",1,1,"DIAPH1","H2AJ","poor",0.408,0.455,0.294
"342","O60664","P48634",1,1,"PLIN3","PRRC2A","poor",0.658,0.746,0.3
"343","O60749","P0C0S5",1,1,"SNX2","H2AZ1","poor",0.351,0.592,0.139
"344","O60749","Q71UI9",1,1,"SNX2","H2AZ2","poor",0.333,0.479,0.193
"345","O60812","P07355",1,1,"HNRNPCL1","ANXA2","poor",0.355,0.666,0
"346","O60812","P08670",3,1,"HNRNPCL1","VIM","poor",0.359,0.698,0
"347","O60812","Q14684",1,1,"HNRNPCL1","RRP1B","poor",0.618,0.825,0
"348","O60812","Q5SRE5",1,1,"HNRNPCL1","NUP188","poor",0.496,0.224,0
"349","O60812","Q9UKM9",2,1,"HNRNPCL1","RALY","poor",0.76,0.83,0
"350","O60814","O75475",1,1,"H2BC12","PSIP1","poor",0.848,0.69,0.227
"351","O60814","P02545",1,1,"H2BC12","LMNA","poor",0.776,0.648,0.14
"352","O60814","P04908",42,7,"H2BC12","H2AC4","rich",0.779,0.907,0.122
"353","O60814","P05204",13,5,"H2BC12","HMGN2","rich",0.871,0.654,0.675
"354","O60814","P06737",2,1,"H2BC12","PYGL","poor",0.635,0.458,0.381
"355","O60814","P09601",1,1,"H2BC12","HMOX1","poor",0.783,0.659,0.156
"356","O60814","P09651",1,1,"H2BC12","HNRNPA1","poor",0.748,0.648,0.136
"357","O60814","P0C0S5",2,2,"H2BC12","H2AZ1","poor",0.75,0.804,0.112
"358","O60814","P0C0S8",25,11,"H2BC12","H2AC11","rich",0.778,0.846,0.226
"359","O60814","P0CG47",13,3,"H2BC12","UBB","poor",0.67,0.64,0.094
"360","O60814","P0CG48",13,3,"H2BC12","UBC","poor",0.71,0.684,0.066
"361","O60814","P10412",14,12,"H2BC12","H1-4","rich",0.746,0.796,0.074
"362","O60814","P16104",1,1,"H2BC12","H2AX","poor",0.712,0.884,0.161
"363","O60814","P16401",10,8,"H2BC12","H1-5","rich",0.79,0.796,0.104
"364","O60814","P16402",11,9,"H2BC12","H1-3","rich",0.752,0.676,0.074
"365","O60814","P16403",13,11,"H2BC12","H1-2","rich",0.746,0.809,0.074
"366","O60814","P20671",26,10,"H2BC12","H2AC7","rich",0.778,0.874,0.226
"367","O60814","P20700",1,1,"H2BC12","LMNB1","poor",0.69,0.731,0.113
"368","O60814","P22492",1,1,"H2BC12","H1-6","poor",0.754,0.653,0.121
"369","O60814","P23527",2,1,"H2BC12","H2BC17","poor",0.931,0.941,0.103
"370","O60814","P25490",1,1,"H2BC12","YY1","poor",0.672,0.61,0.119
"371","O60814","P26358",3,2,"H2BC12","DNMT1","poor",0.712,0.604,0.094
"372","O60814","P26641",2,1,"H2BC12","EEF1G","poor",0.742,0.617,0.431
"373","O60814","P33778",2,1,"H2BC12","H2BC3","poor",0.887,0.941,0.103
"374","O60814","P35251",1,1,"H2BC12","RFC1","poor",0.722,0.658,0.148
"375","O60814","P42696",1,1,"H2BC12","RBM34","poor",0.673,0.417,0.122
"376","O60814","P46821",2,2,"H2BC12","MAP1B","rich",0.396,0.664,0.159
"377","O60814","P48634",1,1,"H2BC12","PRRC2A","poor",0.697,0.676,0.283
"378","O60814","P51825",1,1,"H2BC12","AFF1","poor",0.546,1,0.088
"379","O60814","P51991",1,1,"H2BC12","HNRNPA3","poor",0.637,0.656,0.111
"380","O60814","P58876",2,1,"H2BC12","H2BC5","poor",0.919,1,0
"381","O60814","P62805",163,28,"H2BC12","H4C1","rich",0.764,0.916,0.111
"382","O60814","P62807",2,1,"H2BC12","H2BC4","poor",0.963,0.926,0.828
"383","O60814","P62826",13,2,"H2BC12","RAN","poor",0.658,0.581,0.16
"384","O60814","P62979",13,3,"H2BC12","RPS27A","poor",0.654,0.666,0.072
"385","O60814","P62987",13,3,"H2BC12","UBA52","poor",0.675,0.656,0.079
"386","O60814","P68431",151,28,"H2BC12","H3C1","rich",0.785,0.912,0.109
"387","O60814","P84243",145,25,"H2BC12","H3-3A","rich",0.787,0.79,0.095
"388","O60814","Q02539",2,2,"H2BC12","H1-1","poor",0.765,0.777,0.088
"389","O60814","Q03252",1,1,"H2BC12","LMNB2","poor",0.536,0.762,0.195
"390","O60814","Q08752",1,1,"H2BC12","PPID","poor",0.84,0.582,0.17
"391","O60814","Q12802",1,1,"H2BC12","AKAP13","poor",0.679,0.574,0.122
"392","O60814","Q12904",2,2,"H2BC12","AIMP1","poor",0.756,0.623,0.311
"393","O60814","Q13123",5,2,"H2BC12","IK","poor",0.75,0.637,0.129
"394","O60814","Q13151",1,1,"H2BC12","HNRNPA0","poor",0.627,0.481,0.303
"395","O60814","Q13185",1,1,"H2BC12","CBX3","poor",0.649,0.648,0.167
"396","O60814","Q13601",2,2,"H2BC12","KRR1","rich",0.698,0.676,0.089
"397","O60814","Q14687",1,1,"H2BC12","GSE1","poor",0,1,0
"398","O60814","Q14980",1,1,"H2BC12","NUMA1","poor",0.535,0.634,0.144
"399","O60814","Q15050",3,2,"H2BC12","RRS1","poor",0.604,0.656,0.119
"400","O60814","Q15651",12,4,"H2BC12","HMGN3","poor",0.872,0.614,0.228
"401","O60814","Q16695",119,20,"H2BC12","H3-4","rich",0.804,0.941,0.096
"402","O60814","Q16777",8,3,"H2BC12","H2AC20","poor",0.778,0.874,0.226
"403","O60814","Q16778",2,1,"H2BC12","H2BC21","poor",0.963,0.941,0.828
"404","O60814","Q53EL6",1,1,"H2BC12","PDCD4","poor",0.785,0.676,0.166
"405","O60814","Q5JVF3",1,1,"H2BC12","PCID2","poor",0.715,0.717,0.099
"406","O60814","Q5QNW6",2,1,"H2BC12","H2BC18","poor",0.919,0.962,0
"407","O60814","Q5SSJ5",1,1,"H2BC12","HP1BP3","poor",0.775,0.715,0.152
"408","O60814","Q5TEC6",54,18,"H2BC12","H3-7","rich",0.825,0.891,0
"409","O60814","Q6FI13",25,11,"H2BC12","H2AC18","rich",0.778,0.921,0.226
"410","O60814","Q6IBS0",1,1,"H2BC12","TWF2","poor",0.468,0.58,0.115
"411","O60814","Q6NXT2",52,17,"H2BC12","H3-5","rich",0.808,0.853,0.156
"412","O60814","Q6P2Q9",1,1,"H2BC12","PRPF8","poor",0.657,0.606,0.192
"413","O60814","Q71DI3",151,28,"H2BC12","H3C15","rich",0.863,0.941,0.096
"414","O60814","Q7L7L0",42,7,"H2BC12","H2AW","rich",0,0,0
"415","O60814","Q7Z4V5",2,2,"H2BC12","HDGFL2","poor",0.731,0.566,0.117
"416","O60814","Q86XA9",1,1,"H2BC12","HEATR5A","poor",0.549,0,0.131
"417","O60814","Q8IUE6",9,4,"H2BC12","H2AC21","rich",0.778,0.921,0.226
"418","O60814","Q8N257",2,1,"H2BC12","H2BU1","poor",0,0,0
"419","O60814","Q8N8Z6",1,1,"H2BC12","DCBLD1","poor",0.469,0.467,0
"420","O60814","Q92922",2,2,"H2BC12","SMARCC1","rich",0.683,0.631,0.104
"421","O60814","Q93077",39,6,"H2BC12","H2AC6","rich",0.836,0.921,0.107
"422","O60814","Q93079",2,1,"H2BC12","H2BC9","poor",0.865,0.869,0.103
"423","O60814","Q96A08",3,2,"H2BC12","H2BC1","rich",0.784,0.958,0.22
"424","O60814","Q96ES7",1,1,"H2BC12","SGF29","poor",0.539,0.601,0.14
"425","O60814","Q96KK5",25,11,"H2BC12","H2AC12","rich",0.778,0.874,0.226
"426","O60814","Q96QV6",9,4,"H2BC12","H2AC1","rich",0.75,0.792,0.107
"427","O60814","Q96T88",1,1,"H2BC12","UHRF1","poor",0.71,0.546,0.133
"428","O60814","Q99877",2,1,"H2BC12","H2BC15","poor",0.919,0.891,0.103
"429","O60814","Q99878",17,7,"H2BC12","H2AC14","rich",0,0,0
"430","O60814","Q99879",2,1,"H2BC12","H2BC14","poor",0.919,0.891,0.103
"431","O60814","Q99880",2,1,"H2BC12","H2BC13","poor",0.919,0.941,0.103
"432","O60814","Q9BRT6",1,1,"H2BC12","LLPH","poor",0.58,0.674,0.068
"433","O60814","Q9BTE3",1,1,"H2BC12","MCMBP","poor",0.749,0.602,0.175
"434","O60814","Q9BTM1",8,3,"H2BC12","H2AJ","poor",0.778,0.874,0.226
"435","O60814","Q9BUQ8",1,1,"H2BC12","DDX23","poor",0.734,0.552,0.081
"436","O60814","Q9H9A5",1,1,"H2BC12","CNOT10","poor",0.682,1,0.087
"437","O60814","Q9UIG0",1,1,"H2BC12","BAZ1B","poor",0.67,0.455,0.148
"438","O60814","Q9UNH7",1,1,"H2BC12","SNX6","poor",0.597,0.578,0.108
"439","O60814","Q9Y4D8",2,2,"H2BC12","HECTD4","poor",0.469,0.566,0.075
"440","O60814","Q9Y520",1,1,"H2BC12","PRRC2C","poor",0.552,0.676,0.105
"441","O60814","Q9Y6F1",3,2,"H2BC12","PARP3","rich",0.705,0.41,0.105
"442","O60826","Q567U6",1,1,"CCDC22","CCDC93","poor",0.604,1,0.58
"443","O60826","Q70UQ0",1,1,"CCDC22","IKBIP","poor",0.545,1,0.066
"444","O60841","P11021",1,1,"EIF5B","HSPA5","poor",0.543,0.624,0.155
"445","O60841","P41250",1,1,"EIF5B","GARS1","poor",0.649,0.511,0.5
"446","O60841","P62805",1,1,"EIF5B","H4C1","poor",0.378,0.647,0.22
"447","O60841","P68104",1,1,"EIF5B","EEF1A1","poor",0.536,0.839,0.469
"448","O60841","P68431",3,1,"EIF5B","H3C1","poor",0.385,0.555,0.343
"449","O60841","P84243",3,1,"EIF5B","H3-3A","poor",0.38,0.44,0.226
"450","O60841","Q01484",1,1,"EIF5B","ANK2","poor",0.518,0.48,0.103
"451","O60841","Q16695",3,1,"EIF5B","H3-4","poor",0.346,0.545,0.251
"452","O60841","Q5TEC6",3,1,"EIF5B","H3-7","poor",0.343,0.451,0
"453","O60841","Q5VTE0",1,1,"EIF5B","EEF1A1P5","poor",0.609,0.726,0.647
"454","O60841","Q6NXT2",3,1,"EIF5B","H3-5","poor",0.361,0.453,0.171
"455","O60841","Q71DI3",3,1,"EIF5B","H3C15","poor",0.391,0.545,0.251
"456","O60869","P62304",1,1,"EDF1","SNRPE","poor",0.717,0.761,0.198
"457","O60869","Q9Y265",1,1,"EDF1","RUVBL1","poor",0.634,0.629,0.369
"458","O60879","P53999",1,1,"DIAPH2","SUB1","poor",0.609,0.459,0.062
"459","O60879","P62750",1,1,"DIAPH2","RPL23A","poor",0.713,0.473,0.153
"460","O60884","P24534",3,1,"DNAJA2","EEF1B2","poor",0.759,0.583,0.097
"461","O60884","P29692",3,1,"DNAJA2","EEF1D","poor",0.655,0.55,0.17
"462","O60885","O75694",1,1,"BRD4","NUP155","poor",0.535,0.473,0.222
"463","O60885","P18621",1,1,"BRD4","RPL17","poor",0.575,0.487,0.206
"464","O60885","P40429",1,1,"BRD4","RPL13A","poor",0.456,0.256,0.249
"465","O60885","Q6NVV1",1,1,"BRD4","RPL13AP3","poor",0.631,0.224,0.402
"466","O75083","P62736",1,1,"WDR1","ACTA2","poor",0.641,0.275,0.184
"467","O75083","P63267",1,1,"WDR1","ACTG2","poor",0.715,0.133,0.12
"468","O75083","P68032",1,1,"WDR1","ACTC1","poor",0.696,0.503,0.357
"469","O75083","P68133",1,1,"WDR1","ACTA1","poor",0.702,0.538,0.267
"470","O75116","Q96NB3",1,1,"ROCK2","ZNF830","poor",0.642,0.529,0.246
"471","O75150","Q14152",1,1,"RNF40","EIF3A","poor",0.524,0.586,0.261
"472","O75150","Q5VTR2",5,3,"RNF40","RNF20","rich",0.84,0.831,0.847
"473","O75152","P08238",1,1,"ZC3H11A","HSP90AB1","poor",0.423,0.607,0.187
"474","O75152","P18887",2,1,"ZC3H11A","XRCC1","poor",0.664,0.522,0.113
"475","O75152","Q15149",1,1,"ZC3H11A","PLEC","poor",0.275,0.686,0.331
"476","O75152","Q58FF7",1,1,"ZC3H11A","HSP90AB3P","poor",0.331,0.409,0.12
"477","O75165","P41250",1,1,"DNAJC13","GARS1","poor",0.694,1,0.05
"478","O75348","Q16891",2,1,"ATP6V1G1","IMMT","poor",0.442,0.528,0.295
"479","O75351","Q12830",1,1,"VPS4B","BPTF","poor",0.7,0.598,0.219
"480","O75367","P68431",1,1,"MACROH2A1","H3C1","poor",0.731,0.724,0.482
"481","O75367","P84243",1,1,"MACROH2A1","H3-3A","poor",0.806,0.736,0.268
"482","O75367","Q16695",1,1,"MACROH2A1","H3-4","poor",0.852,0.727,0.228
"483","O75367","Q5TEC6",1,1,"MACROH2A1","H3-7","poor",0.737,0.653,0
"484","O75367","Q6NXT2",1,1,"MACROH2A1","H3-5","poor",0.788,0.668,0.282
"485","O75367","Q71DI3",1,1,"MACROH2A1","H3C15","poor",0.775,0.727,0.228
"486","O75369","P21333",2,1,"FLNB","FLNA","poor",0.748,0.773,0.328
"487","O75369","P58876",1,1,"FLNB","H2BC5","poor",0.566,0.671,0
"488","O75369","P62805",1,1,"FLNB","H4C1","poor",0.533,0.747,0.266
"489","O75369","P62807",1,1,"FLNB","H2BC4","poor",0.574,0.738,0.263
"490","O75369","P68431",1,1,"FLNB","H3C1","poor",0.532,0.75,0.22
"491","O75369","P84243",1,1,"FLNB","H3-3A","poor",0.479,0.593,0.224
"492","O75369","Q5JSZ5",1,1,"FLNB","PRRC2B","poor",0,0.83,0.459
"493","O75369","Q5SSJ5",1,1,"FLNB","HP1BP3","poor",0.383,0.716,0.282
"494","O75369","Q5TEC6",1,1,"FLNB","H3-7","poor",0.321,0.502,0
"495","O75369","Q6NXT2",1,1,"FLNB","H3-5","poor",0.355,0.638,0.318
"496","O75369","Q71DI3",1,1,"FLNB","H3C15","poor",0.473,0.691,0.213
"497","O75369","Q93079",1,1,"FLNB","H2BC9","poor",0.552,0.683,0.229
"498","O75369","Q99877",1,1,"FLNB","H2BC15","poor",0.566,0.502,0.229
"499","O75369","Q99880",1,1,"FLNB","H2BC13","poor",0.566,0.691,0.229
"500","O75369","Q9P225",4,1,"FLNB","DNAH2","poor",0.369,0.431,0.151
"501","O75369","Q9Y520",1,1,"FLNB","PRRC2C","poor",0.63,0.83,0.309
"502","O75391","O95831",3,1,"SPAG7","AIFM1","poor",1,0.576,0
"503","O75436","P36578",1,1,"VPS26A","RPL4","poor",0.571,1,0.077
"504","O75475","P06899",1,1,"PSIP1","H2BC11","poor",0.766,0.679,0.322
"505","O75475","P10809",1,1,"PSIP1","HSPD1","poor",0.49,0.62,0.211
"506","O75475","P23527",3,3,"PSIP1","H2BC17","rich",0.906,0.722,0.373
"507","O75475","P33778",1,1,"PSIP1","H2BC3","poor",0.872,0.722,0.373
"508","O75475","P46777",1,1,"PSIP1","RPL5","poor",0.663,0.696,0.191
"509","O75475","P57053",1,1,"PSIP1","H2BC12L","poor",0.848,0.619,0.182
"510","O75475","P58876",2,2,"PSIP1","H2BC5","rich",0.839,0.69,0
"511","O75475","P62807",2,2,"PSIP1","H2BC4","rich",0.793,0.731,0.278
"512","O75475","P68431",3,2,"PSIP1","H3C1","poor",0.643,0.714,0.402
"513","O75475","P84243",3,2,"PSIP1","H3-3A","poor",0.658,0.556,0.316
"514","O75475","Q16695",2,1,"PSIP1","H3-4","poor",0.724,0.722,0.423
"515","O75475","Q16778",2,2,"PSIP1","H2BC21","rich",0.793,0.722,0.278
"516","O75475","Q5QNW6",2,2,"PSIP1","H2BC18","rich",0.839,0.597,0
"517","O75475","Q5TEC6",3,2,"PSIP1","H3-7","poor",0.799,0.619,0
"518","O75475","Q6DN03",1,1,"PSIP1","H2BC20P","poor",0,0,0
"519","O75475","Q6DRA6",1,1,"PSIP1","H2BC19P","poor",0.715,0.619,0
"520","O75475","Q6NXT2",3,2,"PSIP1","H3-5","poor",0.873,0.593,0.221
"521","O75475","Q71DI3",3,2,"PSIP1","H3C15","poor",0.712,0.722,0.423
"522","O75475","Q8N257",2,2,"PSIP1","H2BU1","rich",0,0,0
"523","O75475","Q92499",1,1,"PSIP1","DDX1","poor",0.715,0.538,0.337
"524","O75475","Q93079",3,3,"PSIP1","H2BC9","rich",0.779,0.702,0.373
"525","O75475","Q96A08",1,1,"PSIP1","H2BC1","poor",0.747,0.638,0.412
"526","O75475","Q99877",2,2,"PSIP1","H2BC15","rich",0.839,0.619,0.373
"527","O75475","Q99879",1,1,"PSIP1","H2BC14","poor",0.839,0.619,0.373
"528","O75475","Q99880",2,2,"PSIP1","H2BC13","rich",0.839,0.722,0.373
"529","O75528","P05787",1,1,"TADA3","KRT8","poor",0.509,0.606,0.204
"530","O75528","P31948",1,1,"TADA3","STIP1","poor",0.508,0.562,0.267
"531","O75533","P62750",1,1,"SF3B1","RPL23A","poor",0.62,0.779,0.356
"532","O75533","Q14764",2,1,"SF3B1","MVP","poor",0.544,0.668,0.104
"533","O75533","Q15393",3,1,"SF3B1","SF3B3","poor",0.949,0.772,0.825
"534","O75533","Q68E01",2,1,"SF3B1","INTS3","poor",0.703,1,0.437
"535","O75533","Q8NE71",1,1,"SF3B1","ABCF1","poor",0.576,0.747,0.261
"536","O75533","Q96SB4",1,1,"SF3B1","SRPK1","poor",0.684,0.595,0.511
"537","O75643","P09874",1,1,"SNRNP200","PARP1","poor",0.65,0.424,0.188
"538","O75643","Q14980",1,1,"SNRNP200","NUMA1","poor",0.486,0.506,0.147
"539","O75683","Q9UQE7",1,1,"SURF6","SMC3","poor",0.77,0.567,0.164
"540","O75691","P62304",1,1,"UTP20","SNRPE","poor",0.525,1,0.342
"541","O75691","Q13813",1,1,"UTP20","SPTAN1","poor",0.526,0.611,0.157
"542","O75746","P06733",1,1,"SLC25A12","ENO1","poor",0.582,0.417,0.206
"543","O75821","P55884",1,1,"EIF3G","EIF3B","poor",0.827,0.887,0.933
"544","O75822","P07814",2,1,"EIF3J","EPRS1","poor",0.648,0.593,0.467
"545","O75822","P62424",1,1,"EIF3J","RPL7A","poor",0.571,0.714,0.758
"546","O75822","Q7Z6Z7",1,1,"EIF3J","HUWE1","poor",0.543,0.536,0.225
"547","O75874","P49458",1,1,"IDH1","SRP9","poor",0.532,0.526,0.117
"548","O75880","P13646",1,1,"SCO1","KRT13","poor",0.527,0.566,0.182
"549","O75909","Q99614",1,1,"CCNK","TTC1","poor",0.282,0.521,0.543
"550","O75912","P09429",1,1,"DGKI","HMGB1","poor",0.536,0.422,0.222
"551","O75912","P09661",2,1,"DGKI","SNRPA1","poor",0.487,0.474,0.136
"552","O75934","Q99459",3,1,"BCAS2","CDC5L","poor",0.894,1,0.535
"553","O75935","Q13561",3,2,"DCTN3","DCTN2","poor",0.737,0.71,0.313
"554","O75962","P10412",1,1,"TRIO","H1-4","poor",0.323,0.387,0.113
"555","O75962","P16401",1,1,"TRIO","H1-5","poor",0.358,0.387,0.142
"556","O75962","Q9H1H9",1,1,"TRIO","KIF13A","poor",0.422,0.513,0.182
"557","O76003","P78316",2,1,"GLRX3","NOP14","poor",0.443,0.693,0.189
"558","O76021","P23528",1,1,"RSL1D1","CFL1","poor",0.513,0.58,0.227
"559","O76021","P36578",2,2,"RSL1D1","RPL4","rich",0.703,0.795,0.127
"560","O76021","Q7Z4V5",1,1,"RSL1D1","HDGFL2","poor",0.453,0.526,0.266
"561","O76021","Q96CV9",1,1,"RSL1D1","OPTN","poor",0.466,0.556,0.243
"562","O76021","Q9BYG3",5,1,"RSL1D1","NIFK","poor",0.701,0.877,0.361
"563","O76021","Q9Y281",1,1,"RSL1D1","CFL2","poor",0.502,0.58,0.155
"564","O76094","Q92901",1,1,"SRP72","RPL3L","poor",0.443,0.497,0.03
"565","O94776","P25490",1,1,"MTA2","YY1","poor",0.765,0.618,0.485
"566","O94776","Q14692",1,1,"MTA2","BMS1","poor",0.684,0.27,0.19
"567","O94776","Q15751",1,1,"MTA2","HERC1","poor",0.523,0.149,0.205
"568","O94776","Q6ZP82",1,1,"MTA2","CCDC141","poor",0.375,1,0.13
"569","O94776","Q9Y5K8",1,1,"MTA2","ATP6V1D","poor",0.543,0.42,0.183
"570","O94826","P16401",1,1,"TOMM70","H1-5","poor",0.42,0.441,0.175
"571","O94826","P52732",1,1,"TOMM70","KIF11","poor",0.46,0.433,0.135
"572","O94854","P16401",1,1,"MACF1","H1-5","poor",0.533,0.693,0.21
"573","O94854","Q15233",1,1,"MACF1","NONO","poor",0.604,0.704,0.179
"574","O94854","Q9UKJ3",1,1,"MACF1","GPATCH8","poor",0.407,0.757,0.329
"575","O94875","Q4VC31",1,1,"SORBS2","MIX23","poor",0.344,0,0
"576","O94887","P00558",1,1,"FARP2","PGK1","poor",0.581,0.308,0.185
"577","O94887","P62081",1,1,"FARP2","RPS7","poor",0.582,0.363,0.203
"578","O94887","P62258",1,1,"FARP2","YWHAE","poor",0.598,0.442,0.315
"579","O94887","P78527",1,1,"FARP2","PRKDC","poor",0.481,0.301,0.271
"580","O94887","Q9BXS6",1,1,"FARP2","NUSAP1","poor",0.786,0.48,0.189
"581","O94906","P30101",1,1,"PRPF6","PDIA3","poor",0.543,0.586,0.152
"582","O94906","Q6P2Q9",1,1,"PRPF6","PRPF8","poor",0.969,0.791,0.721
"583","O94973","Q5JWF2",1,1,"AP2A2","GNAS","poor",0.554,0.525,0.131
"584","O94979","P0DME0",1,1,"SEC31A","SETSIP","poor",0.648,0.606,0.12
"585","O94979","Q01105",1,1,"SEC31A","SET","poor",0.746,0.568,0.133
"586","O95071","P05787",1,1,"UBR5","KRT8","poor",0.677,0.534,0.187
"587","O95139","Q9UIG0",1,1,"NDUFB6","BAZ1B","poor",0.592,0.399,0.257
"588","O95202","P84098",1,1,"LETM1","RPL19","poor",0.418,0.468,0.04
"589","O95232","P46940",1,1,"LUC7L3","IQGAP1","poor",0.359,0.479,0.093
"590","O95239","O95347",6,3,"KIF4A","SMC2","poor",0.748,0.729,0.443
"591","O95249","P54920",1,1,"GOSR1","NAPA","poor",0.644,0.605,0.501
"592","O95340","P13674",1,1,"PAPSS2","P4HA1","poor",0.523,0.407,0.131
"593","O95340","P23528",2,1,"PAPSS2","CFL1","poor",1,0.44,0.162
"594","O95340","P46821",1,1,"PAPSS2","MAP1B","poor",1,0.474,0.172
"595","O95340","P78371",1,1,"PAPSS2","CCT2","poor",1,0.528,0.21
"596","O95347","P10412",3,1,"SMC2","H1-4","poor",0.67,0.577,0.339
"597","O95347","P26038",6,1,"SMC2","MSN","poor",0.597,0.588,0.286
"598","O95347","P38405",2,1,"SMC2","GNAL","poor",0.546,0.624,0.232
"599","O95347","P41250",1,1,"SMC2","GARS1","poor",0.69,0.63,0.07
"600","O95347","P46821",6,3,"SMC2","MAP1B","poor",0.421,0.516,0.224
"601","O95347","P51531",1,1,"SMC2","SMARCA2","poor",0.729,0.759,0.313
"602","O95347","P61981",1,1,"SMC2","YWHAG","poor",0.582,0.547,0.22
"603","O95347","P62701",1,1,"SMC2","RPS4X","poor",0.699,0.532,0.256
"604","O95347","P62841",1,1,"SMC2","RPS15","poor",0.712,0.574,0.192
"605","O95347","P63092",2,1,"SMC2","GNAS","poor",0.574,0.562,0.166
"606","O95347","P63173",1,1,"SMC2","RPL38","poor",0.557,0.538,0.149
"607","O95347","Q15058",1,1,"SMC2","KIF14","poor",0.619,0.751,0.328
"608","O95347","Q15388",7,2,"SMC2","TOMM20","poor",0.433,0.44,0.137
"609","O95347","Q2VIQ3",6,3,"SMC2","KIF4B","poor",0.703,0.655,0.38
"610","O95347","Q96T17",6,1,"SMC2","MAP7D2","poor",0.601,0,0.443
"611","O95347","Q9NTJ3",28,12,"SMC2","SMC4","rich",0.872,1,0.991
"612","O95347","Q9UGR2",1,1,"SMC2","ZC3H7B","poor",1,0.539,0.102
"613","O95365","P60866",1,1,"ZBTB7A","RPS20","poor",0.604,0.516,0.268
"614","O95373","P04406",1,1,"IPO7","GAPDH","poor",0.66,0.534,0.281
"615","O95425","P10412",1,1,"SVIL","H1-4","poor",0.458,0.488,0.15
"616","O95425","P16402",1,1,"SVIL","H1-3","poor",0.501,0.273,0.15
"617","O95425","P16403",1,1,"SVIL","H1-2","poor",0.458,0.469,0.15
"618","O95425","P46939",1,1,"SVIL","UTRN","poor",0.67,0.645,0.276
"619","O95478","P10412",1,1,"NSA2","H1-4","poor",0.446,1,0.187
"620","O95478","P16401",1,1,"NSA2","H1-5","poor",0.604,1,0.136
"621","O95478","P16403",1,1,"NSA2","H1-2","poor",0.446,1,0.187
"622","O95478","P46063",1,1,"NSA2","RECQL","poor",0.474,0.588,0.286
"623","O95573","P04843",1,1,"ACSL3","RPN1","poor",0.777,0.4,0.129
