"","Protein1","Protein2","Spectra_Count","Site_Count","Gene1","Gene2","Context","CC","MF","BP"
"245","O15355","Q71DI3",1,1,"PPM1G","H3C15","poor",0.687,0.474,0.12
"246","O15371","O15372",3,1,"EIF3D","EIF3H","poor",0.907,0.756,0.612
"247","O15371","P51659",1,1,"EIF3D","HSD17B4","poor",0.652,0.194,0.182
"248","O15371","P56192",1,1,"EIF3D","MARS1","poor",0.7,0.488,0.4
"249","O15372","Q9Y262",2,1,"EIF3H","EIF3L","poor",0.815,0.767,0.713
"250","O15511","P61160",1,1,"ARPC5","ACTR2","poor",0.918,0.882,0.352
"251","O15541","P42766",1,1,"RNF113A","RPL35","poor",0.471,0.244,0.339
"252","O15541","Q7KZ85",1,1,"RNF113A","SUPT6H","poor",0.767,0.534,0.34
"253","O43143","Q13586",1,1,"DHX15","STIM1","poor",0.445,0.403,0.108
"254","O43242","P48556",6,1,"PSMD3","PSMD8","poor",0.825,1,1
"255","O43242","Q15008",3,1,"PSMD3","PSMD6","poor",0.922,1,1
"256","O43290","O43776",1,1,"SART1","NARS1","poor",0.556,0.662,0.22
"257","O43290","O75643",1,1,"SART1","SNRNP200","poor",0.838,0.597,0.69
"258","O43290","P62314",1,1,"SART1","SNRPD1","poor",0.85,1,0.764
"259","O43324","P14868",6,1,"EEF1E1","DARS1","poor",0.683,1,0.339
"260","O43324","P17480",1,1,"EEF1E1","UBTF","poor",0.8,1,0.264
"261","O43390","P09874",1,1,"HNRNPR","PARP1","poor",0.673,0.426,0.172
"262","O43423","P61978",3,1,"ANP32C","HNRNPK","poor",0,0,0
"263","O43423","Q15365",3,1,"ANP32C","PCBP1","poor",0,0,0
"264","O43491","Q03252",1,1,"EPB41L2","LMNB2","poor",0.452,0.757,0.408
"265","O43491","Q8WXH0",1,1,"EPB41L2","SYNE2","poor",0.696,0.721,0.227
"266","O43491","Q96CB8",1,1,"EPB41L2","INTS12","poor",0.509,0.653,0.119
"267","O43491","Q9P2B2",1,1,"EPB41L2","PTGFRN","poor",0.431,1,0.317
"268","O43633","P45880",1,1,"CHMP2A","VDAC2","poor",0.542,0.562,0.242
"269","O43660","Q9H1H9",1,1,"PLRG1","KIF13A","poor",0.375,1,0.243
"270","O43663","Q03252",1,1,"PRC1","LMNB2","poor",0.505,0.66,0.364
"271","O43681","Q9BQG0",1,1,"GET3","MYBBP1A","poor",0.736,0.205,0.08
"272","O43707","P60709",46,2,"ACTN4","ACTB","poor",0.743,0.536,0.381
"273","O43707","P62736",46,2,"ACTN4","ACTA2","poor",0.717,0.293,0.313
"274","O43707","P63261",46,2,"ACTN4","ACTG1","poor",0.755,0.489,0.349
"275","O43707","P63267",46,2,"ACTN4","ACTG2","poor",0.683,0.195,0.135
"276","O43707","P68032",46,2,"ACTN4","ACTC1","poor",0.726,0.337,0.376
"277","O43707","P68133",46,2,"ACTN4","ACTA1","poor",0.703,0.469,0.261
"278","O43707","Q562R1",33,1,"ACTN4","ACTBL2","poor",0.661,0.49,0.296
"279","O43707","Q8NBJ5",1,1,"ACTN4","COLGALT1","poor",0.421,0.114,0.146
"280","O43768","Q6DD88",1,1,"ENSA","ATL3","poor",0.511,0.413,0.174
"281","O43768","Q9UQE7",1,1,"ENSA","SMC3","poor",0.606,0.401,0.443
"282","O43776","P46778",1,1,"NARS1","RPL21","poor",0.72,0.613,0.543
"283","O43776","P62753",2,1,"NARS1","RPS6","poor",0.528,0.609,0.358
"284","O43776","Q12888",1,1,"NARS1","TP53BP1","poor",0.508,0.581,0.211
"285","O43790","P02533",4,1,"KRT86","KRT14","poor",0.72,0.689,0.696
"286","O43790","P05783",3,1,"KRT86","KRT18","poor",0.657,0.724,0.279
"287","O43790","P05787",8,3,"KRT86","KRT8","poor",0.59,0.711,0.209
"288","O43790","P08727",4,1,"KRT86","KRT19","poor",0.59,0.726,0.515
"289","O43790","P08779",4,1,"KRT86","KRT16","poor",0.733,0.772,0.536
"290","O43790","P13645",4,1,"KRT86","KRT10","poor",0.751,0.931,0.609
"291","O43790","P19012",4,1,"KRT86","KRT15","poor",0.744,0.775,0.732
"292","O43790","Q04695",8,2,"KRT86","KRT17","poor",0.743,0.871,0.631
"293","O43790","Q99456",4,1,"KRT86","KRT12","poor",0.801,0.743,0.579
"294","O43813","P62841",1,1,"LANCL1","RPS15","poor",1,0.449,0.227
"295","O43815","P42766",1,1,"STRN","RPL35","poor",0.552,0.241,0.077
"296","O43818","P55769",2,2,"RRP9","SNU13","rich",0.755,0.916,0.689
"297","O43818","P68104",1,1,"RRP9","EEF1A1","poor",0.424,0.689,0.143
"298","O43818","Q5VTE0",1,1,"RRP9","EEF1A1P5","poor",0.397,0.444,0.248
"299","O43847","P21333",1,1,"NRDC","FLNA","poor",0.546,0.586,0.218
"300","O60218","P49736",1,1,"AKR1B10","MCM2","poor",0.536,0.332,0.232
"301","O60218","P62805",1,1,"AKR1B10","H4C1","poor",0.554,0.325,0.092
"302","O60218","Q00610",1,1,"AKR1B10","CLTC","poor",0.513,0.414,0.161
"303","O60245","Q16891",1,1,"PCDH7","IMMT","poor",0.346,0.311,0.218
